"CD_REF","dpts"
79319,89
79691,75
79734,89
79766,88
79887,11
79908,89
79913,9
79921,85
79939,28
80007,20
80034,40
80037,75
80066,11
80086,43
80137,54
80212,61
80240,17
80322,87
80358,83
80383,44
80410,89
80417,83
80546,88
80824,88
80978,76
80980,69
80988,52
80990,89
81027,39
81033,29
81287,10
81295,89
81499,61
81508,85
81541,89
81543,36
81563,26
81569,89
81570,65
81856,89
82018,88
82080,89
82130,81
82391,49
82637,85
82656,58
82738,88
82796,40
82922,89
82952,88
82999,89
83058,89
83195,86
83267,88
83481,83
83499,87
83502,89
83528,30
83653,89
83714,76
83777,74
83793,25
83832,51
83866,84
83874,53
83912,89
83933,89
83938,87
83969,9
83973,7
83974,4
84003,8
84053,11
84061,89
84110,89
84112,88
84135,75
84173,70
84195,3
84230,46
84251,53
84279,88
84306,77
84330,16
84338,60
84458,87
84472,89
84524,88
84936,73
85152,72
85502,89
85740,89
85745,39
85774,76
85820,89
85852,87
85903,88
85904,82
85972,6
86081,71
86087,86
86156,89
86490,89
86828,87
86890,83
86969,40
87044,69
87143,89
87420,80
87501,88
87540,87
87690,82
87712,89
87720,81
87742,87
87849,89
87964,86
89147,35
89180,89
89200,87
89232,62
89250,57
89304,89
89452,88
89468,67
89531,12
89542,65
89619,89
89653,87
89840,89
89888,89
90234,89
90470,75
90669,88
90681,89
90836,77
90954,79
91169,89
91199,21
91289,88
91410,16
91680,71
91880,38
91886,89
91904,38
91910,75
91912,89
92052,11
92127,85
92196,85
92237,86
92282,88
92302,89
92353,89
92467,34
92488,85
92497,87
92501,88
92566,67
92606,89
92631,87
92824,77
92854,80
92864,88
92876,89
93045,78
93129,77
93157,86
93190,46
93308,89
93590,79
93621,89
93623,64
93673,69
93680,88
93708,25
93803,83
93840,81
93967,72
94011,19
94164,89
94207,89
94266,88
94427,27
94432,88
94435,67
94489,89
94503,89
94572,62
94590,1
94626,87
94645,40
94716,78
94923,36
94945,76
94959,88
95136,77
95149,89
95186,85
95187,47
95239,72
95425,72
95436,12
95438,53
95442,76
95461,30
95567,89
95662,76
95793,89
95806,15
96046,88
96101,18
96180,89
96208,87
96226,80
96229,89
96251,67
96271,89
96508,89
96523,83
96534,88
96545,64
96546,87
96664,27
96665,33
96667,75
96691,56
96698,49
96749,89
96895,89
97141,88
97185,85
97434,89
97452,88
97490,88
97537,89
97556,89
97601,46
97776,56
97781,69
97947,89
98020,16
98023,4
98651,89
98653,89
98717,87
98718,86
98756,88
98865,89
98887,87
98910,86
98921,89
98933,86
98977,77
99108,89
99233,81
99244,47
99260,84
99305,85
99329,60
99334,84
99358,80
99366,88
99373,89
99473,89
99488,89
99494,89
99582,87
99721,66
99735,34
99815,41
99828,88
99854,20
99881,61
99903,64
99922,74
99929,22
99953,22
100142,89
100144,89
100149,89
100208,37
100215,69
100225,89
100310,89
100335,15
100576,63
100613,32
100787,89
100956,89
101080,85
101101,68
101144,75
101188,89
101202,77
101253,45
101300,86
101405,10
101411,82
101412,82
101460,80
102235,84
102671,85
102863,60
103031,89
103057,78
103162,84
103178,15
103185,67
103245,88
103308,15
103316,89
103320,84
103329,89
103375,89
103406,85
103514,89
103553,61
103578,29
103627,80
103737,77
103772,89
103817,74
103985,32
104173,89
104397,88
104409,40
104413,23
104419,16
104502,88
104516,88
104764,78
104775,89
104786,42
104787,88
104854,83
104855,89
104876,87
104889,87
104903,89
105017,89
105042,78
105211,89
105266,88
105295,89
105297,86
105312,46
105321,81
105427,68
105431,89
105621,87
105817,89
105966,88
105979,80
105989,79
106213,88
106234,88
106288,88
106396,87
106546,82
106565,66
106574,35
106581,86
106595,86
106653,89
106965,77
107038,89
107073,88
107090,89
107117,89
107217,89
107224,86
107282,85
107318,89
107397,82
107440,89
107446,86
107786,76
107886,88
107887,83
107942,87
107992,89
108003,82
108027,89
108029,87
108103,67
108138,84
108168,89
108345,84
108351,89
108361,89
108454,53
108996,89
109104,87
109130,31
109161,65
109186,62
109291,81
109297,86
109422,86
109506,86
109620,23
109625,89
109732,81
109735,11
109750,87
109861,62
109911,87
110211,66
110236,88
110244,85
110914,89
111289,89
111391,89
111771,37
111815,80
111859,88
111974,16
112042,72
112061,27
112303,89
112355,89
112410,85
112413,69
112421,76
112426,78
112467,44
112550,87
112590,53
112601,79
112739,88
112745,89
112783,80
112816,84
113221,89
113260,89
113321,40
113418,89
113432,87
113525,89
113579,85
113596,84
113651,19
113665,35
113682,67
113689,71
113690,45
113703,87
113744,61
113804,16
113809,53
113842,89
113893,89
113904,89
113924,1
113957,38
114080,14
114595,89
114611,86
114612,87
114658,89
115016,89
115110,89
115145,89
115156,89
115215,89
115280,87
115407,79
115470,89
115624,89
115789,89
115813,46
115865,72
115868,23
115918,88
116012,89
116043,89
116089,88
116096,87
116109,87
116142,89
116216,86
116265,89
116392,89
116407,64
116412,14
116416,78
116422,70
116459,15
116460,51
116547,57
116574,89
116704,78
116751,87
116754,49
116759,88
116876,19
116903,89
116952,89
117125,28
117201,89
117224,82
117459,89
117503,89
117530,88
117668,13
117679,50
117712,41
117774,88
117787,86
117806,35
118016,89
118073,89
118397,67
118916,74
118920,41
119097,89
119149,86
119418,89
119419,89
119435,28
119473,89
119550,89
119558,73
119698,87
119860,68
119881,27
119883,16
119892,17
119915,88
119977,89
120135,28
120189,89
120642,2
120643,45
120678,88
120685,86
120712,89
120717,89
120720,81
120758,80
120772,88
120785,22
120786,1
120823,88
120824,89
120908,88
121065,84
121334,86
121449,86
121606,69
121823,87
121999,88
122028,88
122069,86
122101,89
122106,89
122140,66
122243,79
122419,73
122467,21
122493,87
122593,27
122675,48
122714,11
122726,82
122745,89
122971,82
123258,24
123683,89
123705,86
123711,88
123713,89
123863,89
124034,89
124080,89
124139,30
124164,85
124168,84
124205,89
124232,87
124233,89
124308,89
124453,84
124499,87
124578,85
124741,75
124744,81
124798,86
124814,88
124848,5
124970,83
125014,89
125295,87
125324,66
125343,20
125355,87
125426,63
125469,89
125474,89
125568,89
125816,89
125981,89
126006,11
126008,74
126019,24
126035,89
126552,6
126573,83
126582,87
126628,88
126650,89
127029,88
127131,27
127219,35
127230,89
127439,89
127872,51
128042,88
128077,89
128175,89
128215,68
128268,89
128298,88
128345,80
128355,38
128391,1
128416,24
128419,86
128476,89
128520,34
128567,82
128615,85
128660,89
128754,89
128808,88
128832,86
128938,88
129083,89
129087,87
129468,89
129470,88
129477,87
129506,89
129520,24
129527,22
129529,83
129539,8
129596,8
129614,29
129632,89
129639,63
129666,89
129674,33
129723,88
129906,88
129910,54
130484,49
130491,58
130492,55
161772,6
162352,48
445494,70
447038,25
447951,56
521658,87
609982,89
610594,22
610642,11
610643,84
610646,87
610647,9
610648,6
610909,89
611031,50
611652,89
611688,81
611753,61
611755,41
618756,41
621080,82
717139,4
717359,61
717630,89
761965,89
762284,20
994837,60
999933,85
