"","CD_REF","NOM_VALIDE"
"3262",84195,"Arundo micrantha Lam., 1791"
"3263",91410,"Cirsium spinosissimum (L.) Scop., 1769"
"3264",93045,"Crepis foetida L., 1753"
"3265",94590,"Delphinium montanum DC., 1815"
"3266",96698,"Erica vagans L., 1770 [nom. et typ. cons.]"
"3267",97776,"Euphrasia nemorosa (Pers.) Wallr., 1815"
"3268",99244,"Galatella linosyris (L.) Rchb.f., 1854"
"3269",99721,"Genista anglica L., 1753"
"3270",103985,"Jacobaea adonidifolia (Loisel.) M̩rat, 1812"
"3271",610648,"Jacobaea alpina (L.) Moench, 1794"
"3272",610647,"Jacobaea leucophylla (DC.) Pelser, 2006"
"3273",109506,"Neottia nidus-avis (L.) Rich., 1817"
"3274",113957,"Plantago sempervirens Crantz, 1766"
"3275",115813,"Prenanthes purpurea L., 1753"
"3276",117125,"Ranunculus montanus Willd., 1799"
"3277",120786,"Santolina corsica Jord. & Fourr., 1869"
"3278",122243,"Sedum rubens L., 1753"
"3279",122714,"Senecio sarracenicus L., 1753 [nom. et typ. cons.]"
"3280",125343,"Symphytum bulbosum K.F.Schimp., 1825"
"3281",126552,"Thymus nitens Lamotte, 1881"
"3282",129596,"Viola jordanii Hanry, 1853"
"3283",130484,"Xanthium orientale L., 1763"
"3284",999933,"Rabelera holostea (L.) M.T.Sharples & E.A.Tripp, 2019"
"3285",85745,"Bellis sylvestris Cirillo, 1792"
"3286",106546,"Loncomelos pyrenaicus (L.) Hrouda, 1988"
"3287",124848,"Staphisagria macrosperma Spach, 1838"
