LB_NOM,CD_REF,C,S,R,CSR,strategy_class,harvested,selected
Abutilon theophrasti,79684,64.2570398275736,14.7090884093157,21.0338717631107,64 : 15 : 21 %,C/CR,0,1
Acer campestre,79734,36.4385230938179,46.7977879429466,16.7636889632356,36 : 47 : 17 %,CS/CSR,1,1
Acer pseudoplatanus,79783,48.672716371109,40.8483662929392,10.4789173359518,49 : 41 : 10 %,CS,0,1
Aconitum anthora,80007,35.3700616316671,0.671655232881879,63.958283135451,35 : 1 : 64 %,R/CR,1,1
Aegopodium podagraria,80322,60.1940901979969,13.4743917387442,26.3315180632589,60 : 13 : 26 %,C/CSR,1,1
Aethionema saxatile,80350,11.7960602542272,70.6652683016256,17.5386714441472,12 : 71 : 18 %,S/SR,0,1
Agrimonia eupatoria,80410,43.8728839807437,41.0377349599396,15.0893810593167,44 : 41 : 15 %,CS/CSR,1,1
Agrostemma githago,80546,26.7186671549423,46.3991142449258,26.8822186001319,27 : 46 : 27 %,S/CSR,1,1
Agrostis alpina,80564,0,100,0,0 : 100 : 0 %,S,0,1
Agrostis stolonifera,80759,8.39291560263083,53.6925260057791,37.9145583915901,8 : 54 : 38 %,SR,0,1
Ajuga chamaepitys,80978,11.0662679462198,1.99352315383354,86.9402088999467,11 : 2 : 87 %,R,1,1
Albizia julibrissin,447347,63.886455965944,25.4485325886974,10.6650114453586,64 : 25 : 11 %,C/CS,0,1
Alchemilla glaucescens,81091,34.2974988502963,41.3227570351307,24.379744114573,34 : 41 : 24 %,CS/CSR,0,1
Alchemilla subglobosa,717722,38.760803052175,31.6129216694735,29.6262752783515,39 : 32 : 30 %,CSR,0,1
Alisma gramineum,81260,21.1093687344675,67.0366328184402,11.8539984470923,21 : 67 : 12 %,S/CS,0,1
Alkanna matthioli,81287,10.1324652938896,60.3267174445183,29.5408172615922,10 : 60 : 30 %,S/SR,1,1
Allium angulosum,81316,69.7317683997722,0,30.2682316002278,70 : 0 : 30 %,C/CR,0,1
Allium carinatum,81336,39.8376305992496,0,60.1623694007504,40 : 0 : 60 %,CR,0,1
Allium flavum,81376,9.81014119061597,90.189858809384,0,10 : 90 : 0 %,S,0,1
Allium scorodoprasum,81510,14.8422413594773,85.1577586405227,0,15 : 85 : 0 %,S,0,1
Allium ursinum,81541,48.9468238912052,0,51.0531761087948,49 : 0 : 51 %,CR,1,1
Alnus incana,81570,31.6708973052634,45.9097385182836,22.419364176453,32 : 46 : 22 %,S/CSR,1,1
Alopecurus geniculatus,81637,13.2384689573439,44.2388127812661,42.52271826139,13 : 44 : 43 %,SR/CSR,0,1
Alopecurus myosuroides,81648,18.1587837183321,41.3395811766029,40.501635105065,18 : 41 : 41 %,SR/CSR,0,1
Alopecurus pratensis,81656,22.1770308731393,45.356324199595,32.4666449272657,22 : 45 : 32 %,SR/CSR,0,1
Alternanthera philoxeroides,81831,28.7118334753637,0,71.2881665246363,29 : 0 : 71 %,R/CR,0,1
Amaranthus blitum,81966,17.0111867746755,0,82.9888132253245,17 : 0 : 83 %,R/CR,0,1
Amaranthus cruentus,81976,60.7038871247436,0,39.2961128752564,61 : 0 : 39 %,CR,0,1
Amaranthus hybridus,81992,34.3987492682341,0,65.6012507317659,34 : 0 : 66 %,R/CR,0,1
Ambrosia psilostachya,610847,21.566959963789,41.1578551694991,37.275184866712,22 : 41 : 37 %,SR/CSR,0,1
Ammannia coccinea,82120,38.7220530205709,0,61.2779469794291,39 : 0 : 61 %,CR,0,1
Anacamptis coriophora,82282,35.1232442933734,0,64.8767557066266,35 : 0 : 65 %,R/CR,0,1
Anacamptis pyramidalis,82288,34.5342397532957,0,65.4657602467043,35 : 0 : 65 %,R/CR,0,1
Anarrhinum bellidifolium,82356,35.3117237911429,31.7729620272052,32.9153141816519,35 : 32 : 33 %,CSR,0,1
Andromeda polifolia,82420,1.7977692396552,98.2022307603448,0,2 : 98 : 0 %,S,0,1
Androsace alpina,82478,0,43.4227562388256,56.5772437611744,0 : 43 : 57 %,SR,0,1
Androsace lactea,82509,12.6145259842905,0,87.3854740157095,13 : 0 : 87 %,R,0,1
Androsace obtusifolia,82519,0,62.4439150581105,37.5560849418895,0 : 62 : 38 %,SR,0,1
Androsace vitaliana,82545,0,100,0,0 : 100 : 0 %,S,0,1
Andryala ragusina,82571,16.157093689533,69.8708636056083,13.9720427048587,16 : 70 : 14 %,S/CS,0,1
Antennaria carpatica,82794,5.11689757155152,72.7786153144811,22.1044871139673,5 : 73 : 22 %,S/SR,0,1
Anthericum liliago,82903,66.2002940416703,0,33.7997059583297,66 : 0 : 34 %,C/CR,0,1
Anthericum ramosum,82909,45.899054717236,15.8884556652382,38.2124896175257,46 : 16 : 38 %,CR/CSR,0,1
Anthoxanthum aristatum,82916,13.294308986735,33.7574959110409,52.9481951022241,13 : 34 : 53 %,SR/CSR,0,1
Anthoxanthum odoratum,82922,15.6231327880739,43.9746513982419,40.4022158136842,16 : 44 : 40 %,SR/CSR,1,1
Anthriscus caucalis,82931,49.3089881924684,1.77578106187186,48.9152307456597,49 : 2 : 49 %,CR,0,1
Anthyllis barba-jovis,82965,42.5281063069049,57.4718936930951,0,43 : 57 : 0 %,CS,0,1
Aphanes arvensis,83159,1.6867478816146,49.1538165591308,49.1594355592546,2 : 49 : 49 %,SR,0,1
Aposeris foetida,83234,39.7026389310168,0,60.2973610689832,40 : 0 : 60 %,CR,0,1
Arabidopsis arenosa,610746,10.1127519838652,24.0916714596649,65.7955765564698,10 : 24 : 66 %,R/SR,0,1
Arabis alpina,83279,26.4484034084599,0,73.5515965915401,26 : 0 : 74 %,R/CR,0,1
Arctium minus,83502,83.0053537634624,0.331168982804216,16.6634772537334,83 : 0 : 17 %,C/CR,1,1
Arctium nemorosum,83503,86.4908042688299,0,13.5091957311701,86 : 0 : 14 %,C,0,1
Arctium tomentosum,83507,92.0826995657992,0,7.91730043420077,92 : 0 : 8 %,C,0,1
Argyrolobium zanonii,83722,12.6294961091549,86.6701160188952,0.700387871949938,13 : 87 : 1 %,S,0,1
Aristolochia pallida,83789,13.1516211910334,23.2839384311365,63.5644403778301,13 : 23 : 64 %,R/SR,0,1
Armeria alpina,83808,5.49190276828604,38.1970313304346,56.3110659012793,5 : 38 : 56 %,SR,0,1
Armeria maritima,83832,11.0748503073157,67.5185354330713,21.406614259613,11 : 68 : 21 %,S/SR,1,1
Arnica montana,83874,56.0975805957202,0,43.9024194042798,56 : 0 : 44 %,CR,1,1
Arnoseris minima,83890,35.922015337904,0,64.077984662096,36 : 0 : 64 %,R/CR,0,1
Artemisia campestris,83953,16.458187792957,48.2094490973068,35.3323631097362,16 : 48 : 35 %,SR/CSR,0,1
Artemisia pontica,84021,7.29909438499471,70.4569765723465,22.2439290426588,7 : 70 : 22 %,S/SR,0,1
Artemisia verlotiorum,84057,31.0226414230084,60.6621727366821,8.3151858403095,31 : 61 : 8 %,S/CS,0,1
Artemisia vulgaris,84061,38.6821727754727,26.7959704248637,34.5218567996636,39 : 27 : 35 %,CSR,1,1
Asclepias syriaca,84251,67.7661498959067,14.7063891247512,17.5274609793421,68 : 15 : 18 %,C/CR,1,1
Asparagus acutifolius,84264,0,100,0,0 : 100 : 0 %,S,0,1
Asperula aristata,84296,0.0114317888865945,54.3666871636429,45.6218810474705,0 : 54 : 46 %,SR,0,1
Asperula arvensis,84297,4.77541131310188,48.2321798802495,46.9924088066486,5 : 48 : 47 %,SR,0,1
Asperula purpurea,84319,0,75.0744136428868,24.9255863571132,0 : 75 : 25 %,S/SR,0,1
Asphodelus albus,84338,31.0707995527992,68.9292004472008,0,31 : 69 : 0 %,S/CS,1,1
Asphodelus fistulosus,84355,12.417374012123,87.582625987877,0,12 : 88 : 0 %,S,0,1
Asplenium ceterach,84472,29.4262394448653,34.1791599237908,36.3946006313439,29 : 34 : 36 %,CSR,1,1
Asplenium viride,84540,19.3891550952417,36.4592556646087,44.1515892401497,19 : 36 : 44 %,SR/CSR,0,1
Astragalus hamosus,84846,64.5462554356704,19.3106469480195,16.1430976163102,65 : 19 : 16 %,C/CSR,0,1
Astragalus stella,84904,0.987454812585248,60.8778386497336,38.1347065376811,1 : 61 : 38 %,SR,0,1
Athyrium filix-femina,84999,77.044894905885,0,22.955105094115,77 : 0 : 23 %,C/CR,0,1
Atractylis humilis,85023,10.9454887953714,89.0545112046286,0,11 : 89 : 0 %,S,0,1
Atriplex laciniata,85079,43.6458533149401,27.808380534061,28.5457661509988,44 : 28 : 29 %,CSR,0,1
Atriplex patula,85102,57.23774198196,0,42.76225801804,57 : 0 : 43 %,CR,0,1
Avena sterilis,85374,34.9422403608375,20.2262467772788,44.8315128618837,35 : 20 : 45 %,CR/CSR,0,1
Avena strigosa,85378,39.3129782961115,15.2187611226604,45.4682605812281,39 : 15 : 45 %,CR/CSR,0,1
Barbarea intermedia,85536,52.5977990594578,0,47.4022009405422,53 : 0 : 47 %,CR,0,1
Bartsia alpina,85602,10.3271643440083,61.8847121242787,27.7881235317129,10 : 62 : 28 %,S/SR,0,1
Bellis annua,85728,10.388629185404,0,89.611370814596,10 : 0 : 90 %,R,0,1
Bellis perennis,85740,31.4850100124616,0,68.5149899875384,31 : 0 : 69 %,R/CR,1,1
Berberis vulgaris,85774,13.4812689721235,62.5883268331099,23.9304041947666,13 : 63 : 24 %,S/CSR,1,1
Bidens connata,85949,27.6276727774616,0,72.3723272225384,28 : 0 : 72 %,R/CR,0,1
Bidens frondosa,85957,44.8574776751991,0.352595550230036,54.7899267745709,45 : 0 : 55 %,CR,0,1
Bidens pilosa,85972,41.255270556775,2.92128473635946,55.8234447068656,41 : 3 : 56 %,CR,1,1
Bidens radiata,85978,64.0080429011879,0,35.9919570988121,64 : 0 : 36 %,C/CR,0,1
Bifora radians,85997,32.9314236092276,0,67.0685763907724,33 : 0 : 67 %,R/CR,0,1
Bistorta officinalis,86081,42.8101865567392,28.6892780769505,28.5005353663103,43 : 29 : 29 %,CSR,1,1
Bistorta vivipara,86082,21.270347912478,44.5446410944843,34.1850109930377,21 : 45 : 34 %,SR/CSR,0,1
Bituminaria bituminosa,86083,15.5386226040119,59.0042787688394,25.4570986271487,16 : 59 : 25 %,S/CSR,0,1
Blackstonia acuminata,86084,7.29403040957864,0,92.7059695904214,7 : 0 : 93 %,R,0,1
Blackstonia perfoliata,86087,17.7571792712466,28.5259398334781,53.7168808952753,18 : 29 : 54 %,R/CSR,1,1
Blysmus compressus,86124,15.4775558544865,61.1702541140026,23.352190031511,15 : 61 : 23 %,S/CSR,0,1
Borago officinalis,86156,59.0834241889694,0,40.9165758110306,59 : 0 : 41 %,CR,1,1
Brachypodium distachyon,86262,1.53727993693742,57.5408535553558,40.9218665077068,2 : 58 : 41 %,SR,0,1
Brachypodium pinnatum,86289,25.1599759996279,43.1260547341251,31.713969266247,25 : 43 : 32 %,CSR,0,1
Brachypodium retusum,86297,3.86950752449035,58.6643810526334,37.4661114228762,4 : 59 : 37 %,SR,0,1
Brassica oleracea,86406,51.3363117470877,0,48.6636882529123,51 : 0 : 49 %,CR,0,1
Briza media,86490,14.3114559925708,52.221358405583,33.4671856018463,14 : 52 : 33 %,SR/CSR,1,1
Bromus arvensis,86537,26.2136784019361,43.623252803239,30.1630687948249,26 : 44 : 30 %,CSR,0,1
Bromus commutatus,86571,26.8988012842592,31.2446164411901,41.8565822745508,27 : 31 : 42 %,CSR,0,1
Bromus hordeaceus,86634,12.1890835012563,45.4407895193753,42.3701269793684,12 : 45 : 42 %,SR/CSR,0,1
Buglossoides incrassata,610662,15.3560626329334,9.97936955114953,74.6645678159171,15 : 10 : 75 %,R/CR,0,1
Bunium bulbocastanum,86983,46.7696788444854,0,53.2303211555146,47 : 0 : 53 %,CR,0,1
Buphthalmum salicifolium,87009,26.0119382085043,19.9071479564399,54.0809138350558,26 : 20 : 54 %,R/CSR,0,1
Bupleurum rigidum,87093,32.7989840203568,59.8692387296851,7.33177724995815,33 : 60 : 7 %,S/CS,0,1
Calamagrostis arundinacea,87212,25.6128973430132,50.8002058041215,23.5868968528653,26 : 51 : 24 %,S/CSR,0,1
Campanula barbata,87607,27.5310865445129,43.3950804228322,29.0738330326549,28 : 43 : 29 %,CSR,0,1
Campanula bononiensis,87613,26.6028793687214,44.7928097381051,28.6043108931734,27 : 45 : 29 %,S/CSR,0,1
Campanula erinus,87636,10.8490720540101,0,89.1509279459899,11 : 0 : 89 %,R,0,1
Campanula patula,87690,38.7139314993901,0,61.2860685006099,39 : 0 : 61 %,CR,1,1
Campanula rotundifolia,87720,5.01766255067146,47.5418799633367,47.4404574859918,5 : 48 : 47 %,SR,1,1
Campanula trachelium,87742,41.2505346099808,0,58.7494653900192,41 : 0 : 59 %,CR,1,1
Cardamine heptaphylla,87925,57.9228819623918,0,42.0771180376082,58 : 0 : 42 %,CR,0,1
Cardamine hirsuta,87930,10.6184789493291,0,89.3815210506709,11 : 0 : 89 %,R,0,1
Cardamine impatiens,87933,8.49001311662745,47.2703104179893,44.2396764653833,8 : 47 : 44 %,SR,0,1
Cardamine pratensis,87964,40.248847463494,15.0600388922555,44.6911136442505,40 : 15 : 45 %,CR/CSR,1,1
Carduus acanthoides,88059,38.6213889066661,57.1206644677123,4.25794662562154,39 : 57 : 4 %,CS,0,1
Carex arenaria,88349,17.3977652404378,64.5858375886538,18.0163971709085,17 : 65 : 18 %,S/CSR,0,1
Carex brunnescens,88400,7.70261907011315,83.2583342264114,9.03904670347539,8 : 83 : 9 %,S,0,1
Carex curvula,88453,5.05705262786597,91.2849686706861,3.65797870144794,5 : 91 : 4 %,S,0,1
Carex demissa,771637,15.160487223674,55.3710088221674,29.4685039541586,15 : 55 : 29 %,S/CSR,0,1
Carex extensa,88502,25.0170261451351,74.9829738548649,0,25 : 75 : 0 %,S/CS,0,1
Carex halleriana,88560,8.95751058790954,73.4322294393086,17.6102599727819,9 : 73 : 18 %,S/SR,0,1
Carex humilis,88582,6.72876708164283,76.787094293584,16.4841386247732,7 : 77 : 16 %,S/SR,0,1
Carex liparocarpos,88637,9.53878029822911,82.5614581110908,7.8997615906801,10 : 83 : 8 %,S,0,1
Carex mucronata,88693,0.688354650086013,99.311645349914,0,1 : 99 : 0 %,S,0,1
Carex otrubae,88741,34.9522229330562,44.5435645827612,20.5042124841825,35 : 45 : 21 %,CS/CSR,0,1
Carex pilulifera,88775,13.3208121488036,53.9801036055631,32.6990842456333,13 : 54 : 33 %,S/CSR,0,1
Carex remota,88819,13.7308934424992,42.1875194337828,44.081587123718,14 : 42 : 44 %,SR/CSR,0,1
Carex riparia,88833,51.7625037032495,39.7321591482736,8.50533714847685,52 : 40 : 9 %,CS,0,1
Carex tomentosa,88916,14.3920661131051,62.0038350492337,23.6040988376612,14 : 62 : 24 %,S/CSR,0,1
Carex vaginata,88932,12.0572980676934,54.0264608075206,33.916241124786,12 : 54 : 34 %,SR/CSR,0,1
Carex viridula,88949,5.86541888658064,70.3060698998378,23.8285112135815,6 : 70 : 24 %,S/SR,0,1
Catananche caerulea,89330,44.7854102451934,0,55.2145897548066,45 : 0 : 55 %,CR,0,1
Celtis australis,89468,36.8078766224844,38.7942957426049,24.3978276349107,37 : 39 : 24 %,CS/CSR,1,1
Centaurea jacea,89619,35.7782592309056,27.185230653528,37.0365101155664,36 : 27 : 37 %,CSR,1,1
Centaurea stoebe,89716,31.2785030965178,10.832473760856,57.8890231426262,31 : 11 : 58 %,R/CSR,0,1
Centaurium littorale,89845,1.03903895339324,42.9541153445359,56.0068457020709,1 : 43 : 56 %,SR,0,1
Centranthus ruber,89888,57.9611089307141,0,42.0388910692859,58 : 0 : 42 %,CR,1,1
Cephalaria leucantha,89940,58.7665794215545,41.2334205784455,0,59 : 41 : 0 %,CS,0,1
Cerastium brachypetalum,89979,4.94835939946347,23.8001766761123,71.2514639244242,5 : 24 : 71 %,R/SR,0,1
Cerastium pumilum,90076,0,0,100,0 : 0 : 100 %,R,0,1
Ceratocephala falcata,90180,2.5088682717598,49.721844658326,47.7692870699142,3 : 50 : 48 %,SR,0,1
Chamaenerion angustifolium,90483,37.976396050764,31.5176032896104,30.5060006596256,38 : 32 : 31 %,CSR,1,1
Chenopodium ficifolium,90724,29.1991637551011,31.0349760590412,39.7658601858577,29 : 31 : 40 %,CSR,0,1
Chrysosplenium alternifolium,91118,29.5232995619781,0,70.476700438022,30 : 0 : 70 %,R/CR,0,1
Chrysosplenium oppositifolium,91120,17.7116449871532,0,82.2883550128468,18 : 0 : 82 %,R/CR,0,1
Cichorium intybus,91169,55.824270977314,11.1605382944783,33.0151907282077,56 : 11 : 33 %,C/CSR,1,1
Circaea alpina,91256,15.9871964587951,0,84.0128035412049,16 : 0 : 84 %,R,0,1
Cirsium arvense,91289,57.3922668508256,6.64425022491698,35.9634829242575,57 : 7 : 36 %,CR,1,1
Cirsium dissectum,91322,62.0258914577065,0,37.9741085422935,62 : 0 : 38 %,CR,0,1
Cirsium oleraceum,91378,76.3876184837981,0,23.6123815162019,76 : 0 : 24 %,C/CR,0,1
Cirsium tuberosum,91422,84.1626038070435,5.84978729734165,9.98760889561484,84 : 6 : 10 %,C,0,1
Cirsium vulgare,91430,84.4503812538587,0,15.5496187461413,84 : 0 : 16 %,C,0,1
Cistus albidus,91630,33.6283991444889,66.3716008555111,0,34 : 66 : 0 %,S/CS,0,1
Cistus ladanifer,91680,15.2967788772708,84.7032211227292,0,15 : 85 : 0 %,S,1,1
Cistus salviifolius,91715,36.8906918312358,48.0731354374852,15.036172731279,37 : 48 : 15 %,CS/CSR,0,1
Clematis vitalba,91886,50.4398926448224,25.5754322357591,23.9846751194185,50 : 26 : 24 %,C/CSR,1,1
Clinopodium nepeta,91910,6.69832557837189,55.5071414226762,37.7945329989519,7 : 56 : 38 %,SR,1,1
Cochlearia anglica,92029,3.83144799246232,82.1618254994509,14.0067265080867,4 : 82 : 14 %,S,0,1
Colchicum bulbocodium,92132,34.0579997907682,11.2813632726641,54.6606369365677,34 : 11 : 55 %,CR/CSR,0,1
Colocasia esculenta,447722,87.8448812485016,0,12.1551187514984,88 : 0 : 12 %,C,0,1
Conringia orientalis,92254,56.3655293187622,0,43.6344706812378,56 : 0 : 44 %,CR,0,1
Convallaria majalis,92282,50.5240337436319,10.8906361498959,38.5853301064722,51 : 11 : 39 %,CR/CSR,1,1
Convolvulus arvensis,92302,31.8291715568378,6.10405640847502,62.0667720346872,32 : 6 : 62 %,R/CR,1,1
Convolvulus lanuginosus,92329,5.14981796329867,87.4482729650815,7.40190907161986,5 : 87 : 7 %,S,0,1
Convolvulus lineatus,92331,30.9021301329564,35.1040852436547,33.9937846233889,31 : 35 : 34 %,CSR,0,1
Cornus sanguinea,92501,32.7170205096885,49.1444674688696,18.1385120214419,33 : 49 : 18 %,CS/CSR,1,1
Coronilla coronata,92515,40.5657260573382,24.9685589960219,34.4657149466399,41 : 25 : 34 %,CR/CSR,0,1
Corydalis solida,92594,32.6386730921016,0,67.3613269078984,33 : 0 : 67 %,R/CR,0,1
Corylus avellana,92606,35.6601008121193,51.1308244406193,13.2090747472615,36 : 51 : 13 %,CS/CSR,1,1
Cota tinctoria,92629,20.6066268363315,37.6825181414453,41.7108550222232,21 : 38 : 42 %,SR/CSR,0,1
Cotoneaster integerrimus,92667,16.1386704887523,70.7806475212064,13.0806819900413,16 : 71 : 13 %,S/CS,0,1
Crambe maritima,92782,48.423575488526,51.576424511474,0,48 : 52 : 0 %,CS,0,1
Crassula helmsii,92793,0,0,100,0 : 0 : 100 %,R,0,1
Crepis aurea,93004,63.4745568250719,0,36.5254431749281,63 : 0 : 37 %,C/CR,0,1
Crepis capillaris,93023,36.7882181830623,0,63.2117818169377,37 : 0 : 63 %,R/CR,0,1
Crepis conyzifolia,93027,40.9157925613911,59.0842074386089,0,41 : 59 : 0 %,CS,0,1
Crithmum maritimum,93190,5.36354319757136,94.6364568024286,0,5 : 95 : 0 %,S,1,1
Crocus vernus,93282,16.8933053166681,56.1800854467711,26.9266092365609,17 : 56 : 27 %,S/CSR,0,1
Cruciata glabra,93307,3.44114308842421,69.7004476925815,26.8584092189943,3 : 70 : 27 %,S/SR,0,1
Cytisus hirsutus,94123,28.9804760076148,6.65870391457547,64.3608200778097,29 : 7 : 64 %,R/CR,0,1
Dactylorhiza maculata,94266,48.3368997909842,0,51.6631002090158,48 : 0 : 52 %,CR,1,1
Dactylorhiza traunsteineri,94287,32.8746481434502,0,67.1253518565498,33 : 0 : 67 %,R/CR,0,1
Danthonia decumbens,94402,12.2197546630589,64.9784411111815,22.8018042257596,12 : 65 : 23 %,S/SR,0,1
Daphne cneorum,94423,1.47705317537261,80.8610174606792,17.6619293639482,1 : 81 : 18 %,S/SR,0,1
Daphne mezereum,94435,22.3422059104889,30.3651649127192,47.2926291767919,22 : 30 : 47 %,R/CSR,1,1
Datura stramonium,94489,75.6197775166341,0,24.3802224833659,76 : 0 : 24 %,C/CR,1,1
Daucus carota,94503,42.1026931126545,35.9709004700878,21.9264064172577,42 : 36 : 22 %,CS/CSR,1,1
Dianthus barbatus,94698,36.4900704314906,34.9930125929308,28.5169169755786,36 : 35 : 29 %,CSR,0,1
Dianthus deltoides,94728,1.51816870408476,60.5325881087764,37.9492431871389,2 : 61 : 38 %,SR,0,1
Digitaria ischaemum,94985,8.89001258149906,0,91.1099874185009,9 : 0 : 91 %,R,0,1
Diospyros virginiana,611108,56.1473280694187,16.1719733278347,27.6806986027466,56 : 16 : 28 %,C/CSR,0,1
Diphasiastrum alpinum,95056,3.24610918851574,96.7538908114843,0,3 : 97 : 0 %,S,0,1
Dipsacus pilosus,95154,54.4719292891691,0,45.5280707108309,54 : 0 : 46 %,CR,0,1
Dittrichia viscosa,95187,28.3449193513702,26.5199564408282,45.1351242078017,28 : 27 : 45 %,R/CSR,1,1
Doronicum austriacum,95209,52.9236099562863,0,47.0763900437137,53 : 0 : 47 %,CR,0,1
Doronicum pardalianches,95239,61.9063512935291,0,38.0936487064708,62 : 0 : 38 %,CR,1,1
Draba verna,95372,3.54778769730601,0,96.452212302694,4 : 0 : 96 %,R,0,1
Drosera intermedia,95438,0,11.8745858681859,88.1254141318141,0 : 12 : 88 %,R,1,1
Dryopteris affinis,95547,76.4341720106856,8.97290902721104,14.5929189621033,76 : 9 : 15 %,C/CR,0,1
Dryopteris expansa,95566,46.2119132601074,23.0891175554159,30.6989691844767,46 : 23 : 31 %,C/CSR,0,1
Dysphania ambrosioides,611753,37.190099516863,2.65255785209963,60.1573426310373,37 : 3 : 60 %,CR,1,1
Echinops exaltatus,95700,53.3122616032183,32.8593933918455,13.8283450049362,53 : 33 : 14 %,C/CSR,0,1
Echinops ritro,95709,62.5198772392112,37.4801227607888,0,63 : 37 : 0 %,C/CS,0,1
Elaeagnus umbellata,95841,21.5094686113479,47.4890701859348,31.0014612027173,22 : 47 : 31 %,S/CSR,0,1
Elatine hydropiper,95860,0,0,100,0 : 0 : 100 %,R,0,1
Eleocharis ovata,95919,24.218052658315,0,75.781947341685,24 : 0 : 76 %,R/CR,0,1
Eleusine indica,95965,14.1145858732649,33.6665849061948,52.2188292205403,14 : 34 : 52 %,SR/CSR,0,1
