CD_REF,species_unique,LB_NOM,TYPE_BIO_baseflor,FORMATION_baseflor,TYPE_BIO_cbnmed,choix_type_bio,comm_type_bio
79684,1,Abutilon theophrasti,test,thérophytaie,Thérophyte,thérophyte,OK
79734,1,Acer campestre,a-cad,magnophanérophytaie,Phanérophyte,phanérophyte,OK
79783,1,Acer pseudoplatanus,A-cad,magnophanérophytaie,Phanérophyte,phanérophyte,OK
80007,1,Aconitum anthora,Heri,hémicryptophytaie,Géophyte à tubercule,géophyte,cohérence FG FM
80322,1,Aegopodium podagraria,hsto,hémicryptophytaie,Hémicryptophyte,hémicryptophyte,OK
80350,1,Aethionema saxatile,hros,hémicryptophytaie,Chaméphyte,hémicryptophyte,
80410,1,Agrimonia eupatoria,hros,hémicryptophytaie,Hémicryptophyte,hémicryptophyte,OK
80546,1,Agrostemma githago,Test,thérophytaie,Thérophyte,thérophyte,OK
80564,1,Agrostis alpina,hces,hémicryptophytaie,Hémicryptophyte,hémicryptophyte,OK
80759,1,Agrostis stolonifera,hsto,hémicryptophytaie,Hémicryptophyte,hémicryptophyte,OK
80759,0,Agrostis stolonifera,hsto-aqua,hémicryptophytaie,Hémicryptophyte,hémicryptophyte,OK
80978,1,Ajuga chamaepitys,test,thérophytaie,Thérophyte,thérophyte,OK
447347,1,Albizia julibrissin,NA,NA,Phanérophyte,phanérophyte,OK
81091,1,Alchemilla glaucescens,heri,hémicryptophytaie,Hémicryptophyte,hémicryptophyte,OK
717722,1,Alchemilla subglobosa,NA,NA,NA,NA,OK
81260,1,Alisma gramineum,hces-aqua,hémicryptophytaie,Hémicryptophyte,hémicryptophyte,OK
81260,0,Alisma gramineum,hces,hémicryptophytaie,Hémicryptophyte,hémicryptophyte,OK
81287,1,Alkanna matthioli,hsto,hémicryptophytaie,Hémicryptophyte,hémicryptophyte,OK
81316,1,Allium angulosum,gbul,hémicryptophytaie,Géophyte à rhizome,géophyte,OK
81336,1,Allium carinatum,gbul,hémicryptophytaie,Géophyte à bulbe,géophyte,OK
81376,1,Allium flavum,gbul,hémicryptophytaie,Géophyte à bulbe,géophyte,OK
81510,1,Allium scorodoprasum,gbul,géophytaie,Géophyte,géophyte,OK
81510,0,Allium scorodoprasum,gbul,géophytaie,Géophyte à bulbe,géophyte,OK
81541,1,Allium ursinum,gbul,hémicryptophytaie,Géophyte,géophyte,OK
81541,0,Allium ursinum,gbul,hémicryptophytaie,Géophyte à bulbe,géophyte,OK
81570,1,Alnus incana,a-cad,magnophanérophytaie,Phanérophyte,phanérophyte,OK
81637,1,Alopecurus geniculatus,hsto(test),hémicryptophytaie,Hémicryptophyte,hémicryptophyte,OK
81648,1,Alopecurus myosuroides,test,thérophytaie,Thérophyte,thérophyte,OK
81656,1,Alopecurus pratensis,Hces,hémicryptophytaie,Hémicryptophyte,hémicryptophyte,OK
81831,1,Alternanthera philoxeroides,Grhi-aqua,hémicryptophytaie,Hydrophyte enraciné,hydrophyte,
81966,1,Amaranthus blitum,test,thérophytaie,Thérophyte,thérophyte,OK
81976,1,Amaranthus cruentus,NA,NA,Thérophyte,thérophyte,OK
81992,1,Amaranthus hybridus,Test,thérophytaie,Thérophyte,thérophyte,OK
610847,1,Ambrosia psilostachya,grhi,hémicryptophytaie,Géophyte à rhizome,géophyte,OK
82120,1,Ammannia coccinea,test,thérophytaie,Thérophyte,thérophyte,OK
82282,1,Anacamptis coriophora,gtub,hémicryptophytaie,Géophyte à tubercule,géophyte,OK
82288,1,Anacamptis pyramidalis,gtub,hémicryptophytaie,Géophyte,géophyte,OK
82288,0,Anacamptis pyramidalis,gtub,hémicryptophytaie,Géophyte à tubercule,géophyte,OK
82356,1,Anarrhinum bellidifolium,hbis,hémicryptophytaie,Hémicryptophyte,hémicryptophyte,OK
82420,1,Andromeda polifolia,cfru-semp,parvochaméphytaie,Chaméphyte,chaméphyte,OK
82478,1,Androsace alpina,ccou,hémicryptophytaie,Chaméphyte,chaméphyte,
82509,1,Androsace lactea,hces,hémicryptophytaie,Chaméphyte,hémicryptophyte,
82519,1,Androsace obtusifolia,hces,hémicryptophytaie,Chaméphyte,hémicryptophyte,
82545,1,Androsace vitaliana,ccou,hémicryptophytaie,Chaméphyte,chaméphyte,
82571,1,Andryala ragusina,heri,hémicryptophytaie,Hémicryptophyte,hémicryptophyte,OK
82794,1,Antennaria carpatica,hsto,hémicryptophytaie,Hémicryptophyte,hémicryptophyte,OK
82903,0,Anthericum liliago,hces,hémicryptophytaie,Géophyte,géophyte,
82903,1,Anthericum liliago,hces,hémicryptophytaie,Géophyte à rhizome,géophyte,
82909,1,Anthericum ramosum,grhi,hémicryptophytaie,Géophyte à rhizome,géophyte,OK
82916,1,Anthoxanthum aristatum,test,thérophytaie,Thérophyte,thérophyte,OK
82922,1,Anthoxanthum odoratum,hces,hémicryptophytaie,Hémicryptophyte,hémicryptophyte,OK
82931,1,Anthriscus caucalis,tver,thérophytaie,Thérophyte,thérophyte,OK
82965,1,Anthyllis barba-jovis,Cfru,magnochaméphytaie,Nanophanérophyte,chaméphyte,
82965,0,Anthyllis barba-jovis,Cfru,magnochaméphytaie,Phanérophyte,chaméphyte,
83159,1,Aphanes arvensis,test,thérophytaie,Thérophyte,thérophyte,OK
83234,1,Aposeris foetida,hros,hémicryptophytaie,Hémicryptophyte,hémicryptophyte,OK
610746,1,Arabidopsis arenosa,hbis(hros),hémicryptophytaie,NA,hémicryptophyte,OK
83279,0,Arabis alpina,hces,hémicryptophytaie,Chaméphyte,hémicryptophyte,
83279,1,Arabis alpina,hces,hémicryptophytaie,Hémicryptophyte,hémicryptophyte,OK
83502,1,Arctium minus,Hbis,hémicryptophytaie,Hémicryptophyte,hémicryptophyte,OK
83503,1,Arctium nemorosum,Hbis,hémicryptophytaie,Hémicryptophyte,hémicryptophyte,OK
83507,1,Arctium tomentosum,Hbis,hémicryptophytaie,NA,hémicryptophyte,OK
83722,1,Argyrolobium zanonii,csuf,hémicryptophytaie,Chaméphyte,chaméphyte,
83789,1,Aristolochia pallida,gtub,hémicryptophytaie,Géophyte à tubercule,géophyte,OK
83808,1,Armeria alpina,hces,hémicryptophytaie,Chaméphyte,hémicryptophyte,
83832,1,Armeria maritima,hces,hémicryptophytaie,NA,hémicryptophyte,OK
83874,1,Arnica montana,hros,hémicryptophytaie,Hémicryptophyte,hémicryptophyte,OK
83890,1,Arnoseris minima,test,thérophytaie,Thérophyte,thérophyte,OK
83953,1,Artemisia campestris,grhi,hémicryptophytaie,Chaméphyte,hémicryptophyte,
84021,1,Artemisia pontica,NA,NA,Chaméphyte,chaméphyte,OK
84057,1,Artemisia verlotiorum,Hsto,hémicryptophytaie,Hémicryptophyte,hémicryptophyte,OK
84061,1,Artemisia vulgaris,Heri,hémicryptophytaie,Hémicryptophyte,hémicryptophyte,OK
84251,1,Asclepias syriaca,Heri,hémicryptophytaie,Géophyte,hémicryptophyte,FG nph
84251,0,Asclepias syriaca,Heri,hémicryptophytaie,Géophyte,hémicryptophyte,OK
84251,0,Asclepias syriaca,Heri,hémicryptophytaie,Hémicryptophyte,hémicryptophyte,OK
84264,0,Asparagus acutifolius,b-lia,nanophanérophytaie,Géophyte à rhizome,phanérophyte,OK
84264,1,Asparagus acutifolius,b-lia,nanophanérophytaie,Phanérophyte,phanérophyte,OK
84296,1,Asperula aristata,hsto,hémicryptophytaie,Hémicryptophyte,hémicryptophyte,OK
84297,1,Asperula arvensis,tver,thérophytaie,Thérophyte,thérophyte,OK
84319,1,Asperula purpurea,heri,hémicryptophytaie,Hémicryptophyte,hémicryptophyte,OK
84338,1,Asphodelus albus,Gtub,hémicryptophytaie,Géophyte à rhizome,géophyte,OK
84355,1,Asphodelus fistulosus,tver(hces),thérophytaie,Thérophyte,thérophyte,OK
84472,1,Asplenium ceterach,hces,hémicryptophytaie,Hémicryptophyte,hémicryptophyte,OK
84540,1,Asplenium viride,hces,hémicryptophytaie,Hémicryptophyte,hémicryptophyte,OK
84846,1,Astragalus hamosus,tver,thérophytaie,Thérophyte,thérophyte,OK
84904,1,Astragalus stella,tver,thérophytaie,Thérophyte,thérophyte,OK
84999,1,Athyrium filix-femina,Hces,hémicryptophytaie,Hémicryptophyte,hémicryptophyte,OK
85023,1,Atractylis humilis,grhi,hémicryptophytaie,Hémicryptophyte,hémicryptophyte,OK
85079,1,Atriplex laciniata,test,thérophytaie,Thérophyte,thérophyte,OK
85102,1,Atriplex patula,test,thérophytaie,Thérophyte,thérophyte,OK
85374,1,Avena sterilis,test,thérophytaie,Thérophyte,thérophyte,OK
85378,1,Avena strigosa,test,thérophytaie,Thérophyte,thérophyte,OK
85536,1,Barbarea intermedia,hros,hémicryptophytaie,Hémicryptophyte,hémicryptophyte,OK
85602,1,Bartsia alpina,hsto-hpar,hémicryptophytaie,Hémicryptophyte,hémicryptophyte,OK
85728,1,Bellis annua,tver,thérophytaie,Thérophyte,thérophyte,OK
85740,1,Bellis perennis,hros,hémicryptophytaie,Hémicryptophyte,hémicryptophyte,OK
85774,1,Berberis vulgaris,b-cad,nanophanérophytaie,Nanophanérophyte,phanérophyte,OK
85949,1,Bidens connata,test,thérophytaie,Thérophyte,thérophyte,OK
85957,1,Bidens frondosa,Test,thérophytaie,Thérophyte,thérophyte,OK
85972,1,Bidens pilosa,test,thérophytaie,Thérophyte,thérophyte,OK
85978,1,Bidens radiata,test,thérophytaie,Thérophyte,thérophyte,OK
85997,1,Bifora radians,test,thérophytaie,Thérophyte,thérophyte,OK
86081,1,Bistorta officinalis,Heri(Grhi),hémicryptophytaie,Géophyte à rhizome,géophyte,cohérence FG FM
86082,1,Bistorta vivipara,gtub,hémicryptophytaie,Géophyte à rhizome,géophyte,OK
86083,1,Bituminaria bituminosa,Heri,hémicryptophytaie,Hémicryptophyte,hémicryptophyte,OK
86084,1,Blackstonia acuminata,test,thérophytaie,Thérophyte,thérophyte,OK
86087,1,Blackstonia perfoliata,test,thérophytaie,Thérophyte,thérophyte,OK
86124,1,Blysmus compressus,grhi,hémicryptophytaie,Géophyte à rhizome,géophyte,OK
86156,1,Borago officinalis,test,thérophytaie,Thérophyte,thérophyte,OK
86262,1,Brachypodium distachyon,test,thérophytaie,Thérophyte,thérophyte,OK
86289,1,Brachypodium pinnatum,hsto,hémicryptophytaie,NA,hémicryptophyte,OK
86297,1,Brachypodium retusum,hsto,hémicryptophytaie,Hémicryptophyte,hémicryptophyte,OK
86406,1,Brassica oleracea,Hbis(Heri),hémicryptophytaie,Chaméphyte,hémicryptophyte,
86490,1,Briza media,hsto,hémicryptophytaie,Hémicryptophyte,hémicryptophyte,OK
86537,1,Bromus arvensis,Test,thérophytaie,Thérophyte,thérophyte,OK
86571,1,Bromus commutatus,Test,thérophytaie,Thérophyte,thérophyte,OK
86634,1,Bromus hordeaceus,tver,thérophytaie,Thérophyte,thérophyte,OK
610662,1,Buglossoides incrassata,test,thérophytaie,NA,thérophyte,OK
86983,1,Bunium bulbocastanum,gtub,géophytaie,Géophyte à tubercule,géophyte,OK
87009,1,Buphthalmum salicifolium,grhi,hémicryptophytaie,Hémicryptophyte,hémicryptophyte,OK
87093,1,Bupleurum rigidum,heri,hémicryptophytaie,Hémicryptophyte,hémicryptophyte,OK
87212,1,Calamagrostis arundinacea,Hsto,hémicryptophytaie,Hémicryptophyte,hémicryptophyte,OK
87607,1,Campanula barbata,hros,hémicryptophytaie,Hémicryptophyte,hémicryptophyte,OK
87613,1,Campanula bononiensis,heri,hémicryptophytaie,Hémicryptophyte,hémicryptophyte,OK
87636,1,Campanula erinus,test,thérophytaie,Thérophyte,thérophyte,OK
87690,1,Campanula patula,hbis,hémicryptophytaie,Hémicryptophyte,hémicryptophyte,OK
87720,1,Campanula rotundifolia,heri,hémicryptophytaie,Hémicryptophyte,hémicryptophyte,OK
87742,1,Campanula trachelium,Heri,hémicryptophytaie,Hémicryptophyte,hémicryptophyte,OK
87925,1,Cardamine heptaphylla,grhi,hémicryptophytaie,Géophyte à rhizome,géophyte,OK
87930,1,Cardamine hirsuta,tver,thérophytaie,Thérophyte,thérophyte,OK
87933,0,Cardamine impatiens,test,hémicryptophytaie,Hémicryptophyte,hémicryptophyte,OK
87933,1,Cardamine impatiens,test,hémicryptophytaie,Thérophyte,thérophyte,
87964,1,Cardamine pratensis,hros,hémicryptophytaie,Hémicryptophyte,hémicryptophyte,OK
88059,1,Carduus acanthoides,Hbis,hémicryptophytaie,NA,hémicryptophyte,OK
88349,1,Carex arenaria,grhi,hémicryptophytaie,NA,hémicryptophyte,OK
88400,1,Carex brunnescens,hces,hémicryptophytaie,NA,hémicryptophyte,OK
88453,1,Carex curvula,hces,hémicryptophytaie,Hémicryptophyte,hémicryptophyte,OK
771637,1,Carex demissa,hces,hémicryptophytaie,Hémicryptophyte,hémicryptophyte,
88502,1,Carex extensa,hces,hémicryptophytaie,Hémicryptophyte,hémicryptophyte,OK
88560,1,Carex halleriana,hces,hémicryptophytaie,Hémicryptophyte,hémicryptophyte,OK
88582,1,Carex humilis,hces,hémicryptophytaie,Hémicryptophyte,hémicryptophyte,OK
88637,1,Carex liparocarpos,hsto,hémicryptophytaie,Hémicryptophyte,hémicryptophyte,OK
88693,1,Carex mucronata,hces,hémicryptophytaie,Hémicryptophyte,hémicryptophyte,OK
88741,1,Carex otrubae,Hces,hémicryptophytaie,Hémicryptophyte,hémicryptophyte,OK
88775,1,Carex pilulifera,hces,hémicryptophytaie,Hémicryptophyte,hémicryptophyte,OK
88819,1,Carex remota,hces,hémicryptophytaie,Hémicryptophyte,hémicryptophyte,OK
88833,1,Carex riparia,Grhi,hémicryptophytaie,Hélophyte,hélophyte,
88833,0,Carex riparia,Grhi,hémicryptophytaie,Hémicryptophyte,hémicryptophyte,OK
88916,1,Carex tomentosa,grhi,hémicryptophytaie,Hémicryptophyte,hémicryptophyte,OK
88932,1,Carex vaginata,grhi,hémicryptophytaie,NA,hémicryptophyte,OK
88949,1,Carex viridula,hces,hémicryptophytaie,Hémicryptophyte,hémicryptophyte,OK
89330,1,Catananche caerulea,heri,hémicryptophytaie,Hémicryptophyte,hémicryptophyte,OK
89468,1,Celtis australis,A-cad,magnophanérophytaie,Phanérophyte,phanérophyte,OK
89619,1,Centaurea jacea,heri,hémicryptophytaie,Hémicryptophyte,hémicryptophyte,OK
89716,1,Centaurea stoebe,heri,hémicryptophytaie,Hémicryptophyte,hémicryptophyte,OK
89845,1,Centaurium littorale,test(hbis),thérophytaie,NA,thérophyte,OK
89888,1,Centranthus ruber,heri,hémicryptophytaie,Chaméphyte,hémicryptophyte,?
89940,1,Cephalaria leucantha,Heri,hémicryptophytaie,Hémicryptophyte,hémicryptophyte,OK
89979,1,Cerastium brachypetalum,tver,thérophytaie,Thérophyte,thérophyte,OK
90076,1,Cerastium pumilum,tver,thérophytaie,Thérophyte,thérophyte,OK
90180,1,Ceratocephala falcata,tver,thérophytaie,Thérophyte,thérophyte,OK
90483,1,Chamaenerion angustifolium,Heri,hémicryptophytaie,Géophyte à rhizome,hémicryptophyte,suit FG 
90724,1,Chenopodium ficifolium,test,thérophytaie,Thérophyte,thérophyte,OK
91118,1,Chrysosplenium alternifolium,hsto,hémicryptophytaie,Hémicryptophyte,hémicryptophyte,OK
91120,1,Chrysosplenium oppositifolium,hsto,hémicryptophytaie,Hémicryptophyte,hémicryptophyte,OK
91169,0,Cichorium intybus,Heri,hémicryptophytaie,Hémicryptophyte,hémicryptophyte,OK
91169,1,Cichorium intybus,Heri,hémicryptophytaie,Thérophyte,hémicryptophyte,?
91169,0,Cichorium intybus,Heri,hémicryptophytaie,Thérophyte,hémicryptophyte,OK
91256,1,Circaea alpina,grhi,hémicryptophytaie,Géophyte à rhizome,géophyte,OK
91289,1,Cirsium arvense,Grhi,hémicryptophytaie,Géophyte,géophyte,OK
91289,0,Cirsium arvense,Grhi,hémicryptophytaie,Géophyte à rhizome,géophyte,OK
91322,1,Cirsium dissectum,heri,hémicryptophytaie,NA,hémicryptophyte,OK
91378,1,Cirsium oleraceum,Hros,hémicryptophytaie,Hémicryptophyte,hémicryptophyte,OK
91422,1,Cirsium tuberosum,gtub,hémicryptophytaie,Hémicryptophyte,hémicryptophyte,OK
91430,1,Cirsium vulgare,Hbis,hémicryptophytaie,Hémicryptophyte,hémicryptophyte,OK
91630,1,Cistus albidus,Cfru,magnochaméphytaie,Nanophanérophyte,chaméphyte,
91630,0,Cistus albidus,Cfru,magnochaméphytaie,Phanérophyte,chaméphyte,
91680,1,Cistus ladanifer,Cfru,magnochaméphytaie,Nanophanérophyte,phanérophyte,?
91715,0,Cistus salviifolius,Cfru,chaméphytaie,Chaméphyte,chaméphyte,OK
91715,1,Cistus salviifolius,Cfru,chaméphytaie,Phanérophyte,chaméphyte,
91886,1,Clematis vitalba,A-lia-cad,magnophanérophytaie,Phanérophyte lianescente,phanérophyte,OK
91910,1,Clinopodium nepeta,hsto,hémicryptophytaie,Hémicryptophyte,hémicryptophyte,OK
92029,1,Cochlearia anglica,heri,hémicryptophytaie,NA,hémicryptophyte,OK
92132,1,Colchicum bulbocodium,gbul,hémicryptophytaie,Géophyte à corme,géophyte,OK
447722,1,Colocasia esculenta,NA,NA,Géophyte à tubercule,géophyte,OK
92196,0,Colutea arborescens,b-cad,nanophanérophytaie,Nanophanérophyte,phanérophyte,OK
92196,1,Colutea arborescens,b-cad,nanophanérophytaie,Phanérophyte,phanérophyte,OK
92254,1,Conringia orientalis,test,thérophytaie,Thérophyte,thérophyte,OK
92282,0,Convallaria majalis,grhi,hémicryptophytaie,Géophyte,géophyte,OK
92282,1,Convallaria majalis,grhi,hémicryptophytaie,Géophyte à rhizome,géophyte,OK
92302,1,Convolvulus arvensis,hsto-lia(Grhi-lia),hémicryptophytaie,Géophyte,géophyte,cohérence FG FM
92329,1,Convolvulus lanuginosus,csuf,hémicryptophytaie,Hémicryptophyte,hémicryptophyte,OK
92331,0,Convolvulus lineatus,csuf,hémicryptophytaie,Chaméphyte,chaméphyte,
92331,1,Convolvulus lineatus,csuf,hémicryptophytaie,Hémicryptophyte,hémicryptophyte,OK
92501,1,Cornus sanguinea,b-cad,nanophanérophytaie,Nanophanérophyte,phanérophyte,OK
92515,1,Coronilla coronata,hsto,hémicryptophytaie,NA,hémicryptophyte,
92594,1,Corydalis solida,gbul,hémicryptophytaie,Géophyte à tubercule,géophyte,OK
92606,0,Corylus avellana,a-cad,magnophanérophytaie,Nanophanérophyte,phanérophyte,OK
92606,1,Corylus avellana,a-cad,magnophanérophytaie,Phanérophyte,phanérophyte,OK
92629,1,Cota tinctoria,heri,hémicryptophytaie,Thérophyte,thérophyte,
92667,1,Cotoneaster integerrimus,b-cad,nanophanérophytaie,Chaméphyte,phanérophyte,OK
92667,0,Cotoneaster integerrimus,b-cad,nanophanérophytaie,Nanophanérophyte,phanérophyte,OK
92782,1,Crambe maritima,hros,hémicryptophytaie,NA,hémicryptophyte,
92793,1,Crassula helmsii,hsto,hémicryptophytaie,Hélophyte,hélophyte,
93004,1,Crepis aurea,hros,hémicryptophytaie,Hémicryptophyte,hémicryptophyte,
93023,1,Crepis capillaris,test,thérophytaie,Thérophyte,thérophyte,
93027,1,Crepis conyzifolia,heri,hémicryptophytaie,Hémicryptophyte,hémicryptophyte,
93190,1,Crithmum maritimum,hces,hémicryptophytaie,Hémicryptophyte,hémicryptophyte,OK
93282,1,Crocus vernus,gbul,hémicryptophytaie,Géophyte à corme,géophyte,OK
93307,1,Cruciata glabra,heri,hémicryptophytaie,Hémicryptophyte,hémicryptophyte,
94123,1,Cytisus hirsutus,Cfru,chaméphytaie,NA,chaméphyte,
94266,1,Dactylorhiza maculata,gtub,hémicryptophytaie,Géophyte à tubercule,géophyte,OK
94287,1,Dactylorhiza traunsteineri,gtub,hémicryptophytaie,Géophyte à tubercule,géophyte,OK
94402,1,Danthonia decumbens,hces,hémicryptophytaie,Hémicryptophyte,hémicryptophyte,
94423,1,Daphne cneorum,Cfru-semp,parvochaméphytaie,Chaméphyte,chaméphyte,OK
94435,1,Daphne mezereum,Cfru-semp,hémicryptophytaie,Chaméphyte,chaméphyte,?
94489,1,Datura stramonium,Test,thérophytaie,Thérophyte,thérophyte,OK
94503,1,Daucus carota,hbis,hémicryptophytaie,Hémicryptophyte,hémicryptophyte,OK
94698,1,Dianthus barbatus,heri,hémicryptophytaie,Hémicryptophyte,hémicryptophyte,
94728,1,Dianthus deltoides,heri,hémicryptophytaie,Chaméphyte,hémicryptophyte,
94985,1,Digitaria ischaemum,test,thérophytaie,Thérophyte,thérophyte,
611108,1,Diospyros virginiana,a-cad,magnophanérophytaie,Phanérophyte,phanérophyte,OK
95056,1,Diphasiastrum alpinum,NA,NA,Chaméphyte,chaméphyte,
95154,1,Dipsacus pilosus,Hbis,hémicryptophytaie,Hémicryptophyte,hémicryptophyte,
95187,1,Dittrichia viscosa,csuf,hémicryptophytaie,Hémicryptophyte,hémicryptophyte,OK
95209,1,Doronicum austriacum,Heri,hémicryptophytaie,Hémicryptophyte,hémicryptophyte,
95239,1,Doronicum pardalianches,heri,hémicryptophytaie,Géophyte à rhizome,géophyte,cohérence FG FM
95372,1,Draba verna,tver,thérophytaie,Thérophyte,thérophyte,
95438,1,Drosera intermedia,hros-car,hémicryptophytaie,Hémicryptophyte,hémicryptophyte,OK
95547,1,Dryopteris affinis,Hces,hémicryptophytaie,Géophyte,géophyte,
95547,0,Dryopteris affinis,NA,hémicryptophytaie,Géophyte,géophyte,
95547,0,Dryopteris affinis,Hces,hémicryptophytaie,Hémicryptophyte,hémicryptophyte,OK
95547,0,Dryopteris affinis,,hémicryptophytaie,Hémicryptophyte,hémicryptophyte,OK
95566,1,Dryopteris expansa,Hces,hémicryptophytaie,Géophyte,géophyte,
95566,0,Dryopteris expansa,Hces,hémicryptophytaie,Hémicryptophyte,hémicryptophyte,OK
611753,1,Dysphania ambrosioides,test,thérophytaie,Thérophyte,thérophyte,OK
95700,1,Echinops exaltatus,heri,hémicryptophytaie,Hémicryptophyte,hémicryptophyte,
95709,1,Echinops ritro,heri,hémicryptophytaie,Hémicryptophyte,hémicryptophyte,
95841,1,Elaeagnus umbellata,b-semp,nanophanérophytaie,NA,phanérophyte,OK
